m	p	s	samples	purity	coverage	width	ARI	RI	recall	precision
m5	mS	2	2	0.5	200	0.043279687	0.885612608033	0.98	1.0	0.8125
m5	mS	2	2	0.5	500	0.0267474590909	0.939967982924	0.99	1.0	0.896551724138
m5	mS	2	2	0.8	10000	0.00834737777778	0.957888826502	0.993333333333	0.961538461538	0.961538461538
m5	mS	2	2	0.8	1000	0.0249606681818	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	2	0.8	200	0.0612097	0.899946638207	0.983333333333	0.961538461538	0.862068965517
m5	mS	2	2	0.8	500	0.0354337245455	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	2	1.0	10000	0.00748742307692	1.0	1.0	1.0	1.0
m5	mS	2	2	1.0	1000	0.0245249291667	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	2	1.0	200	0.0603411777778	0.899946638207	0.983333333333	0.961538461538	0.862068965517
m5	mS	2	2	1.0	500	0.03744554	0.939967982924	0.99	1.0	0.896551724138
m5	mS	2	3	0.5	10000	0.0061094	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	3	0.5	1000	0.0192317755556	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	3	0.5	200	0.0441829766667	0.885612608033	0.98	1.0	0.8125
m5	mS	2	3	0.5	500	0.027437566	0.885612608033	0.98	1.0	0.8125
m5	mS	2	3	0.8	10000	0.00689100512821	1.0	1.0	1.0	1.0
m5	mS	2	3	0.8	1000	0.0231003611111	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	3	0.8	200	0.0516344126667	0.885612608033	0.98	1.0	0.8125
m5	mS	2	3	0.8	500	0.0321948372222	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	3	1.0	10000	0.00737943076923	1.0	1.0	1.0	1.0
m5	mS	2	3	1.0	1000	0.0244603088889	0.959305480195	0.993333333333	1.0	0.928571428571
m5	mS	2	3	1.0	200	0.0538541187879	0.939967982924	0.99	1.0	0.896551724138
m5	mS	2	3	1.0	500	0.0343028545455	0.939967982924	0.99	1.0	0.896551724138
m5	mS	3	1	0.5	10000	0.00557494509804	0.987033395124	0.99854862119	0.975903614458	1.0
m5	mS	3	1	0.5	1000	0.0177475287879	0.812618982866	0.974600870827	1.0	0.703389830508
m5	mS	3	1	0.5	200	0.043407987037	0.703027564392	0.955007256894	0.987951807229	0.573426573427
m5	mS	3	1	0.5	500	0.0278610925926	0.887703195368	0.986211901306	0.975903614458	0.826530612245
m5	mS	3	1	0.8	10000	0.00714380769231	0.974645114401	0.99709724238	0.987951807229	0.964705882353
m5	mS	3	1	0.8	1000	0.0197292807692	0.889990672191	0.986211901306	1.0	0.813725490196
m5	mS	3	1	0.8	200	0.052408462963	0.727169232292	0.959361393324	1.0	0.597122302158
m5	mS	3	1	0.8	500	0.0291415575758	0.884787425275	0.985486211901	1.0	0.805825242718
m5	mS	3	1	1.0	10000	0.00722904166667	0.974645114401	0.99709724238	0.987951807229	0.964705882353
m5	mS	3	1	1.0	1000	0.0201571888889	0.927952107497	0.991291727141	1.0	0.873684210526
m5	mS	3	1	1.0	200	0.0567533703704	0.815364486865	0.975326560232	0.987951807229	0.713043478261
m5	mS	3	1	1.0	500	0.0356706481481	0.843461185807	0.979680696662	0.987951807229	0.752293577982
m5	mS	3	2	0.5	10000	0.00416581304348	1.0	1.0	1.0	1.0
m5	mS	3	2	0.5	1000	0.0145461355556	0.922358121755	0.990566037736	1.0	0.864583333333
m5	mS	3	2	0.5	200	0.0314228766667	0.927183055176	0.991291727141	0.987951807229	0.881720430108
m5	mS	3	2	0.5	500	0.0192906484375	0.927952107497	0.991291727141	1.0	0.873684210526
m5	mS	3	2	0.8	10000	0.00509650436508	0.981089265619	0.997822931785	1.0	0.96511627907
m5	mS	3	2	0.8	1000	0.0148080650794	0.981089265619	0.997822931785	1.0	0.96511627907
m5	mS	3	2	0.8	200	0.0373254016667	0.911344627922	0.989114658926	1.0	0.84693877551
m5	mS	3	2	0.8	500	0.0243499553571	0.911344627922	0.989114658926	1.0	0.84693877551
m5	mS	3	2	1.0	10000	0.0054075076087	1.0	1.0	1.0	1.0
m5	mS	3	2	1.0	1000	0.0170809615741	0.968482109366	0.996371552975	0.987951807229	0.953488372093
m5	mS	3	2	1.0	200	0.0382965328125	0.911344627922	0.989114658926	1.0	0.84693877551
m5	mS	3	2	1.0	500	0.024288629902	0.968482109366	0.996371552975	0.987951807229	0.953488372093
m5	mS	3	3	0.5	10000	0.00352365790598	1.0	1.0	1.0	1.0
m5	mS	3	3	0.5	1000	0.0109580516908	0.968827760937	0.996371552975	1.0	0.943181818182
m5	mS	3	3	0.5	200	0.0241210964646	0.956832278679	0.994920174165	1.0	0.922222222222
m5	mS	3	3	0.5	500	0.0150505558081	0.956832278679	0.994920174165	1.0	0.922222222222
m5	mS	3	3	0.8	10000	0.00422824401709	1.0	1.0	1.0	1.0
m5	mS	3	3	0.8	1000	0.013104521256	0.968827760937	0.996371552975	1.0	0.943181818182
m5	mS	3	3	0.8	200	0.0286207032828	0.956832278679	0.994920174165	1.0	0.922222222222
m5	mS	3	3	0.8	500	0.0179941787879	0.956832278679	0.994920174165	1.0	0.922222222222
m5	mS	3	3	1.0	10000	0.00454582713675	1.0	1.0	1.0	1.0
m5	mS	3	3	1.0	1000	0.0135501224444	0.993625741274	0.999274310595	1.0	0.988095238095
m5	mS	3	3	1.0	200	0.0311229378788	0.956832278679	0.994920174165	1.0	0.922222222222
m5	mS	3	3	1.0	500	0.0196243532407	0.968482109366	0.996371552975	0.987951807229	0.953488372093
m5	mS	4	1	0.5	10000	0.00873608653846	0.889627847743	0.987019230769	0.906976744186	0.886363636364
m5	mS	4	1	0.5	1000	0.02560549	0.955668537062	0.994711538462	0.984496124031	0.933823529412
m5	mS	4	1	0.5	200	0.0429588269231	0.890833803877	0.986057692308	0.992248062016	0.820512820513
m5	mS	4	1	0.5	500	0.040926703125	0.889627847743	0.987019230769	0.906976744186	0.886363636364
m5	mS	4	1	0.8	10000	0.00972152857143	0.905301080803	0.988942307692	0.914728682171	0.907692307692
m5	mS	4	1	0.8	1000	0.0299898508333	0.932908827346	0.991826923077	0.984496124031	0.894366197183
m5	mS	4	1	0.8	200	0.0703799633929	0.843160373317	0.978846153846	1.0	0.745664739884
m5	mS	4	1	0.8	500	0.0516013875	0.768984343275	0.969230769231	0.906976744186	0.692307692308
m5	mS	4	1	1.0	10000	0.0105294553571	0.904613028776	0.988942307692	0.906976744186	0.9140625
m5	mS	4	1	1.0	1000	0.0295154852941	0.940801906482	0.992788461538	0.992248062016	0.901408450704
m5	mS	4	1	1.0	200	0.0790504653846	0.84527557693	0.979326923077	0.992248062016	0.752941176471
m5	mS	4	1	1.0	500	0.0516891614583	0.847141823444	0.98125	0.906976744186	0.8125
m5	mS	4	2	0.5	10000	0.0060524921875	0.995882655687	0.999519230769	1.0	0.992307692308
m5	mS	4	2	0.5	1000	0.0200845630952	0.948694985618	0.99375	1.0	0.908450704225
m5	mS	4	2	0.5	200	0.0410374632812	0.879936649266	0.984615384615	0.984496124031	0.808917197452
m5	mS	4	2	0.5	500	0.0285332943452	0.944169424324	0.993269230769	0.984496124031	0.913669064748
m5	mS	4	2	0.8	10000	0.006674759	0.991794904162	0.999038461538	1.0	0.984732824427
m5	mS	4	2	0.8	1000	0.0231311236413	0.983589808324	0.998076923077	0.992248062016	0.977099236641
m5	mS	4	2	0.8	200	0.0606823190972	0.880720693598	0.984615384615	0.992248062016	0.805031446541
m5	mS	4	2	0.8	500	0.0344949720238	0.942148530469	0.993269230769	0.945736434109	0.945736434109
m5	mS	4	2	1.0	10000	0.0073475	0.995882655687	0.999519230769	1.0	0.992307692308
m5	mS	4	2	1.0	1000	0.0240488304348	0.967872354393	0.996153846154	1.0	0.941605839416
m5	mS	4	2	1.0	200	0.0670534731618	0.869962846528	0.983173076923	0.984496124031	0.79375
m5	mS	4	2	1.0	500	0.038282670625	0.967413824841	0.996153846154	0.984496124031	0.954887218045
m5	mS	4	3	0.5	10000	0.00529502175926	0.995882655687	0.999519230769	1.0	0.992307692308
m5	mS	4	3	0.5	1000	0.0178417398333	0.983706912421	0.998076923077	1.0	0.96992481203
m5	mS	4	3	0.5	200	0.0319212450758	0.922934134621	0.990384615385	1.0	0.865771812081
m5	mS	4	3	0.5	500	0.0250430096667	0.983706912421	0.998076923077	1.0	0.96992481203
m5	mS	4	3	0.8	10000	0.00631515478395	0.995882655687	0.999519230769	1.0	0.992307692308
m5	mS	4	3	0.8	1000	0.0205140830128	0.987736427527	0.998557692308	1.0	0.977272727273
m5	mS	4	3	0.8	200	0.0484014430556	0.963983099762	0.995673076923	1.0	0.934782608696
m5	mS	4	3	0.8	500	0.0290918941987	0.979560712545	0.997596153846	0.992248062016	0.969696969697
m5	mS	4	3	1.0	10000	0.00657509375	1.0	1.0	1.0	1.0
m5	mS	4	3	1.0	1000	0.0213521353395	0.995882655687	0.999519230769	1.0	0.992307692308
m5	mS	4	3	1.0	200	0.0507122906667	0.983706912421	0.998076923077	1.0	0.96992481203
m5	mS	4	3	1.0	500	0.0312602216026	0.991794904162	0.999038461538	1.0	0.984732824427
m5	mS	5	1	0.5	10000	0.00601207	0.789882261612	0.980295566502	0.941176470588	0.695652173913
m5	mS	5	1	0.5	1000	0.0220636666667	0.618938366879	0.955665024631	0.941176470588	0.484848484848
m5	mS	5	1	0.5	200	0.05270352	0.352197981114	0.879310344828	0.941176470588	0.25
m5	mS	5	1	0.5	500	0.0311898066667	0.475889064712	0.923645320197	0.941176470588	0.347826086957
m5	mS	5	1	0.8	10000	0.00667708	0.83444338725	0.985221674877	0.941176470588	0.761904761905
m5	mS	5	1	0.8	1000	0.0230260533333	0.769172457359	0.977832512315	0.941176470588	0.666666666667
m5	mS	5	1	0.8	200	0.06494396	0.523517197797	0.935960591133	0.941176470588	0.390243902439
m5	mS	5	1	0.8	500	0.0339713342857	0.5340189147	0.93842364532	0.941176470588	0.4
m5	mS	5	1	1.0	10000	0.00726551272727	0.769172457359	0.977832512315	0.941176470588	0.666666666667
m5	mS	5	1	1.0	1000	0.026201225	0.730541812477	0.972906403941	0.941176470588	0.615384615385
m5	mS	5	1	1.0	200	0.0556606428571	0.605421994885	0.953201970443	0.941176470588	0.470588235294
m5	mS	5	1	1.0	500	0.0400705666667	0.592410400562	0.950738916256	0.941176470588	0.457142857143
m5	mS	5	2	0.5	10000	0.00452643368421	1.0	1.0	1.0	1.0
m5	mS	5	2	0.5	1000	0.0148156046154	0.724590163934	0.970443349754	1.0	0.586206896552
m5	mS	5	2	0.5	200	0.0338415309091	0.633169360506	0.955665024631	1.0	0.485714285714
m5	mS	5	2	0.5	500	0.02148227	0.607084099487	0.950738916256	1.0	0.459459459459
m5	mS	5	2	0.8	10000	0.00552994222222	1.0	1.0	1.0	1.0
m5	mS	5	2	0.8	1000	0.0179395525	0.842411696209	0.985221674877	1.0	0.739130434783
m5	mS	5	2	0.8	200	0.0400549658333	0.607084099487	0.950738916256	1.0	0.459459459459
m5	mS	5	2	0.8	500	0.0245444153846	0.760415437271	0.975369458128	1.0	0.62962962963
m5	mS	5	2	1.0	10000	0.006062973125	0.941875447387	0.995073891626	1.0	0.894736842105
m5	mS	5	2	1.0	1000	0.02016508	0.938605776501	0.995073891626	0.941176470588	0.941176470588
m5	mS	5	2	1.0	200	0.0450318190909	0.605421994885	0.953201970443	0.941176470588	0.470588235294
m5	mS	5	2	1.0	500	0.0263591884615	0.633169360506	0.955665024631	1.0	0.485714285714
m5	mS	5	3	0.5	10000	0.00422423403509	1.0	1.0	1.0	1.0
m5	mS	5	3	0.5	1000	0.01283197875	0.779534210209	0.977832512315	1.0	0.653846153846
m5	mS	5	3	0.5	200	0.0292266475556	0.724590163934	0.970443349754	1.0	0.586206896552
m5	mS	5	3	0.5	500	0.0190889053333	0.742118027486	0.972906403941	1.0	0.607142857143
m5	mS	5	3	0.8	10000	0.00509097263158	1.0	1.0	1.0	1.0
m5	mS	5	3	0.8	1000	0.016102654386	1.0	1.0	1.0	1.0
m5	mS	5	3	0.8	200	0.035812792	0.742118027486	0.972906403941	1.0	0.607142857143
m5	mS	5	3	0.8	500	0.02181136375	0.779534210209	0.977832512315	1.0	0.653846153846
m5	mS	5	3	1.0	10000	0.00549933684211	1.0	1.0	1.0	1.0
m5	mS	5	3	1.0	1000	0.0174044526316	1.0	1.0	1.0	1.0
